scenario,distribution,days,density
current_nsw,isolation_swab,0,0.6065306597126334
current_nsw,test_turnaround_time,0,0.11553074178751796
current_nsw,time_to_interview,0,0.2614917210998025
current_nsw,interview_isolation,0,0.6065306597126334
current_nsw,isolation_swab,1,0.3032653298563167
current_nsw,test_turnaround_time,1,0.5632905527498494
current_nsw,time_to_interview,1,0.2667173021418806
current_nsw,interview_isolation,1,0.3032653298563167
current_nsw,isolation_swab,2,0.07581633246407919
current_nsw,test_turnaround_time,2,0.22974099986100172
current_nsw,time_to_interview,2,0.12134285280267355
current_nsw,interview_isolation,2,0.07581633246407919
current_nsw,isolation_swab,3,0.012636055410679864
current_nsw,test_turnaround_time,3,0.06336005189269332
current_nsw,time_to_interview,3,0.09627829257177578
current_nsw,interview_isolation,3,0.012636055410679864
current_nsw,isolation_swab,4,0.0015795069263349838
current_nsw,test_turnaround_time,4,0.013390168187925683
current_nsw,time_to_interview,4,0.07416071699832903
current_nsw,interview_isolation,4,0.0015795069263349838
current_nsw,isolation_swab,5,1.5795069263349796e-4
current_nsw,test_turnaround_time,5,0.005397766760876616
current_nsw,time_to_interview,5,0.08983746012456327
current_nsw,interview_isolation,5,1.5795069263349796e-4
current_nsw,isolation_swab,6,1.3162557719458172e-5
current_nsw,test_turnaround_time,6,0.0028262984756521337
current_nsw,time_to_interview,6,0.05262038584232113
current_nsw,interview_isolation,6,1.3162557719458172e-5
current_nsw,isolation_swab,7,9.401826942470148e-7
current_nsw,test_turnaround_time,7,0.0020618079043691795
current_nsw,time_to_interview,7,0.01828953364727328
current_nsw,interview_isolation,7,9.401826942470148e-7
current_nsw,isolation_swab,8,5.876141839043841e-8
current_nsw,test_turnaround_time,8,0.0017838113329935598
current_nsw,time_to_interview,8,0.007929515418502203
current_nsw,interview_isolation,8,5.876141839043841e-8
current_nsw,isolation_swab,9,3.264523243913249e-9
current_nsw,test_turnaround_time,9,9.498216188667006e-4
current_nsw,time_to_interview,9,0.004678717909767583
current_nsw,interview_isolation,9,3.264523243913249e-9
current_nsw,isolation_swab,10,1.632261621956627e-10
current_nsw,test_turnaround_time,10,5.791595236992077e-4
current_nsw,time_to_interview,10,0.0027646969466808445
current_nsw,interview_isolation,10,1.632261621956627e-10
current_nsw,isolation_swab,11,7.419371008893695e-12
current_nsw,test_turnaround_time,11,2.0849742853171479e-4
current_nsw,time_to_interview,11,0.001731733252316573
current_nsw,interview_isolation,11,7.419371008893695e-12
current_nsw,isolation_swab,12,3.0914045870390403e-13
current_nsw,test_turnaround_time,12,4.4016123801139787e-4
current_nsw,time_to_interview,12,0.0012152514051344372
current_nsw,interview_isolation,12,3.0914045870390403e-13
current_nsw,isolation_swab,13,1.189001764245786e-14
current_nsw,test_turnaround_time,13,1.1583190473984154e-4
current_nsw,time_to_interview,13,5.468631323104967e-4
current_nsw,interview_isolation,13,1.189001764245786e-14
current_nsw,isolation_swab,14,4.246434872306379e-16
current_nsw,test_turnaround_time,14,3.2432933327155634e-4
current_nsw,time_to_interview,14,3.9495670666869206e-4
current_nsw,interview_isolation,14,4.246434872306379e-16
current_vic,isolation_swab,0,0.6065306597126334
current_vic,test_turnaround_time,0,0.08005381769256643
current_vic,time_to_interview,0,0.5739621120515921
current_vic,interview_isolation,0,0.6065306597126334
current_vic,isolation_swab,1,0.3032653298563167
current_vic,test_turnaround_time,1,0.7307433568785738
current_vic,time_to_interview,1,0.35953244659411526
current_vic,interview_isolation,1,0.3032653298563167
current_vic,isolation_swab,2,0.07581633246407919
current_vic,test_turnaround_time,2,0.1718802556340397
current_vic,time_to_interview,2,0.042724707779121324
current_vic,interview_isolation,2,0.07581633246407919
current_vic,isolation_swab,3,0.012636055410679864
current_vic,test_turnaround_time,3,0.01580894719138917
current_vic,time_to_interview,3,0.012494961708988311
current_vic,interview_isolation,3,0.012636055410679864
current_vic,isolation_swab,4,0.0015795069263349838
current_vic,test_turnaround_time,4,0.0013454423141607804
current_vic,time_to_interview,4,0.004433696090286175
current_vic,interview_isolation,4,0.0015795069263349838
current_vic,isolation_swab,5,1.5795069263349796e-4
current_vic,test_turnaround_time,5,1.6818028927009755e-4
current_vic,time_to_interview,5,0.0028214429665457475
current_vic,interview_isolation,5,1.5795069263349796e-4
current_vic,isolation_swab,6,1.3162557719458172e-5
current_vic,test_turnaround_time,6,0
current_vic,time_to_interview,6,8.061265618702137e-4
current_vic,interview_isolation,6,1.3162557719458172e-5
current_vic,isolation_swab,7,9.401826942470148e-7
current_vic,test_turnaround_time,7,0
current_vic,time_to_interview,7,0.0016122531237404273
current_vic,interview_isolation,7,9.401826942470148e-7
current_vic,isolation_swab,8,5.876141839043841e-8
current_vic,test_turnaround_time,8,0
current_vic,time_to_interview,8,4.0306328093510683e-4
current_vic,interview_isolation,8,5.876141839043841e-8
current_vic,isolation_swab,9,3.264523243913249e-9
current_vic,test_turnaround_time,9,0
current_vic,time_to_interview,9,4.0306328093510683e-4
current_vic,interview_isolation,9,3.264523243913249e-9
current_vic,isolation_swab,10,1.632261621956627e-10
current_vic,test_turnaround_time,10,0
current_vic,time_to_interview,10,8.061265618702137e-4
current_vic,interview_isolation,10,1.632261621956627e-10
current_vic,isolation_swab,11,7.419371008893695e-12
current_vic,test_turnaround_time,11,0
current_vic,time_to_interview,11,0
current_vic,interview_isolation,11,7.419371008893695e-12
current_vic,isolation_swab,12,3.0914045870390403e-13
current_vic,test_turnaround_time,12,0
current_vic,time_to_interview,12,0
current_vic,interview_isolation,12,3.0914045870390403e-13
current_vic,isolation_swab,13,1.189001764245786e-14
current_vic,test_turnaround_time,13,0
current_vic,time_to_interview,13,0
current_vic,interview_isolation,13,1.189001764245786e-14
current_vic,isolation_swab,14,4.246434872306379e-16
current_vic,test_turnaround_time,14,0
current_vic,time_to_interview,14,0
current_vic,interview_isolation,14,4.246434872306379e-16
optimal,isolation_swab,0,0.6065306597126334
optimal,test_turnaround_time,0,0.12420382165605096
optimal,time_to_interview,0,0.7537058152793614
optimal,interview_isolation,0,0.6065306597126334
optimal,isolation_swab,1,0.3032653298563167
optimal,test_turnaround_time,1,0.5950106157112527
optimal,time_to_interview,1,0.22405929304446978
optimal,interview_isolation,1,0.3032653298563167
optimal,isolation_swab,2,0.07581633246407919
optimal,test_turnaround_time,2,0.25477707006369427
optimal,time_to_interview,2,0.018814139110604332
optimal,interview_isolation,2,0.07581633246407919
optimal,isolation_swab,3,0.012636055410679864
optimal,test_turnaround_time,3,0.016454352441613588
optimal,time_to_interview,3,0.0017103762827822121
optimal,interview_isolation,3,0.012636055410679864
optimal,isolation_swab,4,0.0015795069263349838
optimal,test_turnaround_time,4,0.006369426751592357
optimal,time_to_interview,4,0.0011402508551881414
optimal,interview_isolation,4,0.0015795069263349838
optimal,isolation_swab,5,1.5795069263349796e-4
optimal,test_turnaround_time,5,0.0021231422505307855
optimal,time_to_interview,5,0
optimal,interview_isolation,5,1.5795069263349796e-4
optimal,isolation_swab,6,1.3162557719458172e-5
optimal,test_turnaround_time,6,5.307855626326964e-4
optimal,time_to_interview,6,5.701254275940707e-4
optimal,interview_isolation,6,1.3162557719458172e-5
optimal,isolation_swab,7,9.401826942470148e-7
optimal,test_turnaround_time,7,5.307855626326964e-4
optimal,time_to_interview,7,0
optimal,interview_isolation,7,9.401826942470148e-7
optimal,isolation_swab,8,5.876141839043841e-8
optimal,test_turnaround_time,8,0
optimal,time_to_interview,8,0
optimal,interview_isolation,8,5.876141839043841e-8
optimal,isolation_swab,9,3.264523243913249e-9
optimal,test_turnaround_time,9,0
optimal,time_to_interview,9,0
optimal,interview_isolation,9,3.264523243913249e-9
optimal,isolation_swab,10,1.632261621956627e-10
optimal,test_turnaround_time,10,0
optimal,time_to_interview,10,0
optimal,interview_isolation,10,1.632261621956627e-10
optimal,isolation_swab,11,7.419371008893695e-12
optimal,test_turnaround_time,11,0
optimal,time_to_interview,11,0
optimal,interview_isolation,11,7.419371008893695e-12
optimal,isolation_swab,12,3.0914045870390403e-13
optimal,test_turnaround_time,12,0
optimal,time_to_interview,12,0
optimal,interview_isolation,12,3.0914045870390403e-13
optimal,isolation_swab,13,1.189001764245786e-14
optimal,test_turnaround_time,13,0
optimal,time_to_interview,13,0
optimal,interview_isolation,13,1.189001764245786e-14
optimal,isolation_swab,14,4.246434872306379e-16
optimal,test_turnaround_time,14,0
optimal,time_to_interview,14,0
optimal,interview_isolation,14,4.246434872306379e-16
partial,isolation_swab,0,0.6065306597126334
partial,test_turnaround_time,0,0.03529763685312594
partial,time_to_interview,0,0.24080028581636298
partial,interview_isolation,0,0.6065306597126334
partial,isolation_swab,1,0.3032653298563167
partial,test_turnaround_time,1,0.2425964702363147
partial,time_to_interview,1,0.4301536262951054
partial,interview_isolation,1,0.3032653298563167
partial,isolation_swab,2,0.07581633246407919
partial,test_turnaround_time,2,0.3909661980257254
partial,time_to_interview,2,0.1218292247231154
partial,interview_isolation,2,0.07581633246407919
partial,isolation_swab,3,0.012636055410679864
partial,test_turnaround_time,3,0.20729883338318875
partial,time_to_interview,3,0.05501964987495534
partial,interview_isolation,3,0.012636055410679864
partial,isolation_swab,4,0.0015795069263349838
